Company Name,MMYY,Research & development expenses,MMYY,"Current assets (incl. short term investments, loans & advances)",Current liabilities,Return on total assets,Return on net worth,Return on capital employed,Current ratio (times),Quick ratio (times),Debt to equity ratio (times),Closing Price ,Market Capitalisation,Total Returns,EPS ,Size
Aarti Drugs Ltd.,Mar-11,46.3,Mar-14,5067.5,4426.4,8.37,27.43,11.12,1.08,0.71,1.43,263.4,3189.39,-0.02,48.18,8.067584955
Aarti Drugs Ltd.,Mar-12,52.1,Mar-15,5067.42,4644.03,6.21,19.2,8.08,1.07,0.68,1.33,651.75,15783.49,-0.65,31.41,9.666719736
Aarti Drugs Ltd.,Mar-13,59.1,Mar-16,5294.8,4491.8,6.57,19.35,8.63,1.08,0.63,1.17,454.5,11006.67,0.13,25.92,9.306256732
Aarti Drugs Ltd.,Mar-14,30.4,Mar-17,6971.6,5892.4,6.03,17.9,8.19,1.1,0.65,1.2,575.55,13730.95,0.17,29.89,9.527407688
Aarti Drugs Ltd.,Mar-15,30.397,Mar-18,7354.1,5477.7,6.11,17.32,8.47,1.27,0.82,0.91,506.65,11947.87,-1.31,29.77,9.388308299
Aarti Drugs Ltd.,Mar-16,38,Mar-19,7354.1,5477.7,6.11,17.32,8.47,1.27,0.82,0.91,640.45,15103.16,-0.87,35.77,9.622659272
Abbott India Ltd.,Mar-10,16.9,Mar-13,13544.7,1901.2,10.54,25.48,25.48,2.02,1.44,0,1348.6,28656.81,1.32,54.32,10.263146390
Abbott India Ltd.,Mar-11,12.2,Mar-14,16761.1,2529,10.77,25.84,25.84,1.97,1.49,0,1752.75,37244.71,2.45,68.81,10.525265200
Abbott India Ltd.,Mar-12,13.2,Mar-15,14626.9,3943.3,13.13,23.83,23.83,3.69,2.71,0,3948.4,83900.74,0.46,104.9,11.337389712
Abbott India Ltd.,Mar-13,16.2,Mar-16,19047.9,6434.1,14.67,21.17,21.17,2.9,2.1,0,4707.5,100031.09,-0.9,119.63,11.513236317
Abbott India Ltd.,Mar-14,11.7,Mar-17,22768.6,6794.6,17.55,25.82,25.81,2.97,2.04,0,4638.85,98572.32,1.74,128.62,11.498545771
Abbott India Ltd.,Mar-15,7.1,Mar-18,27721.8,8680.8,16.08,23.52,23.51,3.11,2.4,0,5449.1,115789.57,1.61,158.74,11.659529771
Abbott India Ltd.,Mar-16,7.6,Mar-19,27721.8,8680.8,16.08,23.52,23.51,3.11,2.4,0,7296.85,155052.97,0.18,204.03,11.951522079
Ajanta Pharma Ltd.,Mar-10,248.8,Mar-13,4536.5,2212.5,28.89,50.37,39.26,1.61,1.02,0.24,643.4,15066.5,-0.82,41.61,9.620229015
Ajanta Pharma Ltd.,Mar-11,374.1,Mar-14,5730.3,1805.3,31.91,47.47,41.24,2.21,1.54,0.09,1001.4,35199.91,0.19,63.95,10.468798805
